        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603310600,   0.086,  -0.741,  -0.600,  -0.227,  -0.741,  -0.800,  -0.941,  -0.500,  -0.641
202603310606,   0.117,  -0.718,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310612,   0.153,  -0.669,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310618,   0.194,  -0.459,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310624,   0.240,  -0.429,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310630,   0.291,  -0.350,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310636,   0.347,  -0.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310642,   0.407,  -0.341,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310648,   0.472,  -0.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310654,   0.541,  -0.190,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310700,   0.613,  -0.141,  -0.700,  -0.054,  -0.141,  -0.900,  -0.341,  -0.500,   0.059
202603310706,   0.689,  -0.068,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310712,   0.768,  -0.009,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310718,   0.851,   0.209,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310724,   0.936,   0.288,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310730,   1.024,   0.409,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310736,   1.114,   0.341,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310742,   1.206,   0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310748,   1.300,   0.508,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310754,   1.395,   0.600,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310800,   1.492,   0.731,  -0.700,  -0.061,   0.731,  -0.900,   0.531,  -0.500,   0.931
202603310806,   1.589,   0.829,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310812,   1.688,   0.951,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310818,   1.786,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310824,   1.886,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310830,   1.985,   1.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310836,   2.084,   1.328,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310842,   2.183,   1.430,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310848,   2.282,   1.528,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310854,   2.380,   1.610,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310900,   2.478,   1.699,  -0.700,  -0.079,   1.699,  -0.900,   1.499,  -0.500,   1.899
202603310906,   2.574,   1.767,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310912,   2.670,   1.889,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310918,   2.764,   2.010,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310924,   2.856,   2.289,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310930,   2.947,   2.400,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310936,   3.035,   2.328,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310942,   3.121,   2.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310948,   3.205,   2.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603310954,   3.286,   2.640,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311000,   3.364,   2.738,  -0.700,   0.074,   2.738,  -0.900,   2.538,  -0.500,   2.938
202603311006,   3.439,   2.807,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311012,   3.510,   2.909,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311018,   3.577,   3.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311024,   3.640,   3.250,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311030,   3.699,   3.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311036,   3.753,   3.260,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311042,   3.802,   3.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311048,   3.846,   3.407,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311054,   3.885,   3.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311100,   3.919,   3.548,  -0.700,   0.329,   3.548,  -0.900,   3.348,  -0.600,   3.648
202603311106,   3.947,   3.607,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311112,   3.969,   3.670,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311118,   3.985,   3.739,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311124,   3.996,   3.890,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603311130,   4.001,   3.899,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
